PROGRAMA,SETOR,GRANDE ÁREA CNPQ,ÁREA CNPQ,SITUAÇÃO ATUAL,CURSO BOLSISTA
PROGRAMA INSTITUCIONAL DE VOLUNTÁRIOS DE INICIAÇÃO CIENTÍFICA DA UFOP - 1º SEMESTRE,DECBI     ,CIÊNCIAS DA VIDA,CIÊNCIAS BIOLÓGICAS,CONCLUÍDO,"CIENCIAS BIOLOGICAS, ENGENHARIA AMBIENTAL"
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DECBI     ,CIÊNCIAS DA VIDA,CIÊNCIAS BIOLÓGICAS,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DA FAPEMIG,DEBIO     ,CIÊNCIAS DA VIDA,CIÊNCIAS BIOLÓGICAS,CONCLUÍDO,"ESTATISTICA, MEDICINA"
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEACL     ,CIÊNCIAS DA VIDA,CIÊNCIAS BIOLÓGICAS,CONCLUÍDO,"FARMACIA, FARMACIA, FARMACIA"
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO EM DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO,DECBI     ,CIÊNCIAS DA VIDA,CIÊNCIAS BIOLÓGICAS,CONCLUÍDO,MEDICINA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO EM DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO/UFOP,DECBI     ,CIÊNCIAS DA VIDA,CIÊNCIAS BIOLÓGICAS,CONCLUÍDO,NUTRICAO
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DECBI     ,CIÊNCIAS DA VIDA,CIÊNCIAS BIOLÓGICAS,ATIVO,"CIENCIAS BIOLOGICAS, CIENCIAS BIOLOGICAS"
PROGRAMA INSTITUCIONAL DE VOLUNTÁRIOS DE INICIAÇÃO CIENTÍFICA DA UFOP - 2º SEMESTRE,DECBI     ,CIÊNCIAS DA VIDA,CIÊNCIAS BIOLÓGICAS,ATIVO,"CIENCIAS BIOLOGICAS, CIENCIAS BIOLOGICAS"
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEBIO     ,CIÊNCIAS DA VIDA,CIÊNCIAS BIOLÓGICAS,CONCLUÍDO,MEDICINA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DECBI     ,CIÊNCIAS DA VIDA,CIÊNCIAS BIOLÓGICAS,ATIVO,FARMACIA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO EM DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO,DECBI     ,CIÊNCIAS DA VIDA,CIÊNCIAS BIOLÓGICAS,ATIVO,FARMACIA
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEFAR     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DA FAPEMIG,DEFAR     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DA FAPEMIG,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,"CIENCIAS BIOLOGICAS, CIENCIAS BIOLOGICAS"
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DA FAPEMIG,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,"CIENCIAS BIOLOGICAS, CIENCIAS BIOLOGICAS, CIENCIAS BIOLOGICAS"
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLOGICA DA FAPEMIG,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DA FAPEMIG,DEFAR     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,"FARMACIA, FARMACIA"
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DA FAPEMIG,DEFAR     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,"CIENCIAS BIOLOGICAS, FARMACIA"
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO EM DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO/UFOP,DEFAR     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,"CIENCIAS BIOLOGICAS, NUTRICAO"
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO EM DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO/UFOP,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEFAR     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,"NUTRICAO, FARMACIA"
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO EM DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO/UFOP,DEFAR     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEFAR     ,CIÊNCIAS DA VIDA,GENÉTICA,ATIVO,FARMACIA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEFAR     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,"CIENCIA E TECNOLOGIA DE ALIMENTOS, NUTRICAO, FARMACIA"
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLOGICA DA FAPEMIG,DEFAR     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO EM DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO/UFOP,DEFAR     ,CIÊNCIAS DA VIDA,GENÉTICA,ATIVO,FARMACIA
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DA FAPEMIG,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,MEDICINA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,MEDICINA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,"CIENCIAS BIOLOGICAS, CIENCIAS BIOLOGICAS"
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,"CIENCIAS BIOLOGICAS, CIENCIAS BIOLOGICAS"
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,"CIENCIAS BIOLOGICAS, CIENCIAS BIOLOGICAS"
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLOGICA DA FAPEMIG,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,"CIENCIAS BIOLOGICAS, CIENCIAS BIOLOGICAS"
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,"CIENCIAS BIOLOGICAS, CIENCIAS BIOLOGICAS, CIENCIAS BIOLOGICAS"
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,"CIENCIAS BIOLOGICAS, CIENCIAS BIOLOGICAS"
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,ATIVO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEFAR     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEFAR     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEFAR     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA - AÇÕES AFIRMATIVAS,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA INSTITUCIONAL DE VOLUNTÁRIOS DE INICIAÇÃO CIENTÍFICA DA UFOP - 2º SEMESTRE,DEFAR     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA INSTITUCIONAL DE VOLUNTÁRIOS DE INICIAÇÃO CIENTÍFICA DA UFOP - 2º SEMESTRE,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,MEDICINA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,MEDICINA
PROGRAMA INSTITUCIONAL DE VOLUNTÁRIOS DE INICIAÇÃO CIENTÍFICA DA UFOP - 2º SEMESTRE,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,ATIVO,MEDICINA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,ATIVO,FARMACIA
PROGRAMA INSTITUCIONAL DE VOLUNTÁRIOS DE INICIAÇÃO CIENTÍFICA DA UFOP - 1º SEMESTRE,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,ATIVO,MEDICINA
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DA FAPEMIG,DEFAR     ,CIÊNCIAS DA VIDA,GENÉTICA,ATIVO,FARMACIA
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DA FAPEMIG,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,ATIVO,MEDICINA
PROGRAMA INSTITUCIONAL DE VOLUNTÁRIOS DE INICIAÇÃO CIENTÍFICA DA UFOP - 1º SEMESTRE,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,ATIVO,"FARMACIA, FARMACIA"
PROGRAMA INSTITUCIONAL DE VOLUNTÁRIOS DE INICIAÇÃO CIENTÍFICA DA UFOP - 2º SEMESTRE,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,MEDICINA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEFAR     ,CIÊNCIAS DA VIDA,GENÉTICA,ATIVO,FARMACIA
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DA FAPEMIG,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,"CIENCIAS BIOLOGICAS, CIENCIAS BIOLOGICAS"
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,MEDICINA
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA INSTITUCIONAL DE VOLUNTÁRIOS DE INICIAÇÃO CIENTÍFICA DA UFOP - 1º SEMESTRE,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,MEDICINA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,NUTRICAO
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DA FAPEMIG,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DA FAPEMIG,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO EM DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO/UFOP,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLOGICA DA FAPEMIG,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,NUTRICAO
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,NUTRICAO
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO EM DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO/UFOP,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO EM DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO/UFOP,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO EM DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO/UFOP,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DA FAPEMIG,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,ATIVO,FARMACIA
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DECBI     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,"CIENCIAS BIOLOGICAS, CIENCIAS BIOLOGICAS"
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,ATIVO,FARMACIA
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLOGICA DA FAPEMIG,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEBIO     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE VOLUNTÁRIOS DE INICIAÇÃO CIENTÍFICA DA UFOP/PIBIC/FAPEMIG,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEACL     ,CIÊNCIAS DA VIDA,GENÉTICA,CONCLUÍDO,FARMACIA
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DEBIO     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,"CIENCIAS BIOLOGICAS, CIENCIAS BIOLOGICAS"
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DEBIO     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEBIO     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEBIO     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEBIO     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,FARMACIA
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DEBIO     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA INSTITUCIONAL DE BOLSAS DE INICIAÇÃO CIENTÍFICA,DEBIO     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEBIO     ,CIÊNCIAS DA VIDA,BOTÂNICA,ATIVO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DEQUI     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,FARMACIA
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DEQUI     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,ENGENHARIA AMBIENTAL
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DEBIO     ,CIÊNCIAS DA VIDA,BOTÂNICA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 1º SEMESTRE,DEBIO     ,CIÊNCIAS DA VIDA,ZOOLOGIA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE INICIAÇÃO À PESQUISA - 2º SEMESTRE,DEBIO     ,CIÊNCIAS DA VIDA,ZOOLOGIA,CONCLUÍDO,CIENCIAS BIOLOGICAS
PROGRAMA DE BOLSAS DE INICIAÇÃO CIENTÍFICA E TECNOLÓGICA DA FAPEMIG,DEBIO     ,CIÊNCIAS DA VIDA,ZOOLOGIA,CONCLUÍDO,CIENCIAS BIOLOGICAS
